case_id,product_id,product_type,case_type,scenario,problem_desc,root_cause,solution,lessons_learned,best_practices,tags
CASE0001,PROD0002,货币型,成功案例,货币型产品数据问题问题,交易执行环节数据问题,人员问题,优化流程,在货币型产品流程设计中，需要特别注意数据问题风险,建议：优化流程,"货币型,数据问题,低影响"
CASE0002,PROD0003,股票型,成功案例,股票型产品数据问题问题,托管行清算核对环节数据问题,人员问题,优化流程,在股票型产品流程设计中，需要特别注意数据问题风险,建议：优化流程,"股票型,数据问题,低影响"
CASE0003,PROD0004,混合型,成功案例,混合型产品错误问题,交易指令接收环节出现数据错误，需要重新处理,人工操作失误,加强培训,在混合型产品流程设计中，需要特别注意错误风险,建议：加强培训,"混合型,错误,低影响"
CASE0004,PROD0004,混合型,成功案例,混合型产品系统问题问题,估值计算环节系统问题,人员问题,改进协作,在混合型产品流程设计中，需要特别注意系统问题风险,建议：改进协作,"混合型,系统问题,低影响"
CASE0005,PROD0005,混合型,成功案例,混合型产品错误问题,托管行估值核对环节出现数据错误，需要重新处理,数据源错误,修正计算逻辑,在混合型产品流程设计中，需要特别注意错误风险,建议：修正计算逻辑,"混合型,错误,低影响"
CASE0006,PROD0006,QDII,失败案例,QDII产品数据问题问题,托管行清算核对环节数据问题,流程设计问题,改进协作,在QDII产品流程设计中，需要特别注意数据问题风险,建议：改进协作,"QDII,数据问题,高影响"
CASE0007,PROD0006,QDII,成功案例,QDII产品延迟问题,信息披露发布环节执行延迟，超出计划时间-29分钟,人员协调问题,加强协作机制,在QDII产品流程设计中，需要特别注意延迟风险,建议：加强协作机制,"QDII,延迟,低影响"
CASE0008,PROD0007,混合型,失败案例,混合型产品遗漏问题,清算处理环节遗漏关键步骤或数据,检查清单缺失,优化系统提示,在混合型产品流程设计中，需要特别注意遗漏风险,建议：优化系统提示,"混合型,遗漏,高影响"
CASE0009,PROD0008,FOF,成功案例,FOF产品遗漏问题,清算处理环节遗漏关键步骤或数据,检查清单缺失,完善流程设计,在FOF产品流程设计中，需要特别注意遗漏风险,建议：完善流程设计,"FOF,遗漏,低影响"
CASE0010,PROD0008,FOF,成功案例,FOF产品协作问题问题,托管行估值核对环节协作问题,系统问题,加强培训,在FOF产品流程设计中，需要特别注意协作问题风险,建议：加强培训,"FOF,协作问题,低影响"
CASE0011,PROD0009,债券型,成功案例,债券型产品数据问题问题,交易指令接收环节数据问题,人员问题,优化流程,在债券型产品流程设计中，需要特别注意数据问题风险,建议：优化流程,"债券型,数据问题,中影响"
CASE0012,PROD0009,债券型,成功案例,债券型产品遗漏问题,清算数据接收环节遗漏关键步骤或数据,系统提示不足,加强培训,在债券型产品流程设计中，需要特别注意遗漏风险,建议：加强培训,"债券型,遗漏,中影响"
CASE0013,PROD0011,QDII,成功案例,QDII产品错误问题,信息披露发布环节出现数据错误，需要重新处理,计算公式错误,修正计算逻辑,在QDII产品流程设计中，需要特别注意错误风险,建议：修正计算逻辑,"QDII,错误,低影响"
CASE0014,PROD0014,货币型,成功案例,货币型产品协作问题问题,估值计算环节协作问题,协作问题,修复系统,在货币型产品流程设计中，需要特别注意协作问题风险,建议：修复系统,"货币型,协作问题,中影响"
CASE0015,PROD0015,股票型,成功案例,股票型产品协作问题问题,估值计算环节协作问题,协作问题,修复系统,在股票型产品流程设计中，需要特别注意协作问题风险,建议：修复系统,"股票型,协作问题,低影响"
CASE0016,PROD0017,债券型,成功案例,债券型产品错误问题,托管行清算核对环节出现数据错误，需要重新处理,人工操作失误,修正数据源,在债券型产品流程设计中，需要特别注意错误风险,建议：修正数据源,"债券型,错误,中影响"
CASE0017,PROD0018,FOF,成功案例,FOF产品遗漏问题,清算处理环节遗漏关键步骤或数据,人员疏忽,优化系统提示,在FOF产品流程设计中，需要特别注意遗漏风险,建议：优化系统提示,"FOF,遗漏,低影响"
CASE0018,PROD0020,货币型,失败案例,货币型产品遗漏问题,清算处理环节遗漏关键步骤或数据,检查清单缺失,建立检查清单,在货币型产品流程设计中，需要特别注意遗漏风险,建议：建立检查清单,"货币型,遗漏,高影响"
CASE0019,PROD0020,货币型,成功案例,货币型产品数据问题问题,估值计算环节数据问题,人员问题,修复系统,在货币型产品流程设计中，需要特别注意数据问题风险,建议：修复系统,"货币型,数据问题,低影响"
CASE0020,PROD0023,债券型,成功案例,债券型产品系统问题问题,估值数据准备环节系统问题,人员问题,优化流程,在债券型产品流程设计中，需要特别注意系统问题风险,建议：优化流程,"债券型,系统问题,中影响"
CASE0021,PROD0023,债券型,成功案例,债券型产品数据问题问题,估值计算环节数据问题,系统问题,加强培训,在债券型产品流程设计中，需要特别注意数据问题风险,建议：加强培训,"债券型,数据问题,中影响"
CASE0022,PROD0026,股票型,成功案例,股票型产品延迟问题,清算数据接收环节执行延迟，超出计划时间-35分钟,前置步骤延迟,加强协作机制,在股票型产品流程设计中，需要特别注意延迟风险,建议：加强协作机制,"股票型,延迟,低影响"
CASE0023,PROD0026,股票型,成功案例,股票型产品数据问题问题,清算处理环节数据问题,协作问题,优化流程,在股票型产品流程设计中，需要特别注意数据问题风险,建议：优化流程,"股票型,数据问题,中影响"
CASE0024,PROD0027,债券型,成功案例,债券型产品数据问题问题,交易确认环节数据问题,人员问题,加强培训,在债券型产品流程设计中，需要特别注意数据问题风险,建议：加强培训,"债券型,数据问题,中影响"
CASE0025,PROD0029,FOF,成功案例,FOF产品错误问题,信息披露环节出现数据错误，需要重新处理,数据源错误,修正数据源,在FOF产品流程设计中，需要特别注意错误风险,建议：修正数据源,"FOF,错误,中影响"
CASE0026,PROD0031,货币型,成功案例,货币型产品延迟问题,信息披露环节执行延迟，超出计划时间-11分钟,人员协调问题,加强协作机制,在货币型产品流程设计中，需要特别注意延迟风险,建议：加强协作机制,"货币型,延迟,低影响"
CASE0027,PROD0031,货币型,成功案例,货币型产品系统问题问题,交易指令接收环节系统问题,流程设计问题,加强培训,在货币型产品流程设计中，需要特别注意系统问题风险,建议：加强培训,"货币型,系统问题,中影响"
CASE0028,PROD0031,货币型,成功案例,货币型产品遗漏问题,估值计算环节遗漏关键步骤或数据,流程设计不完整,优化系统提示,在货币型产品流程设计中，需要特别注意遗漏风险,建议：优化系统提示,"货币型,遗漏,低影响"
CASE0029,PROD0033,债券型,失败案例,债券型产品遗漏问题,交易确认环节遗漏关键步骤或数据,流程设计不完整,完善流程设计,在债券型产品流程设计中，需要特别注意遗漏风险,建议：完善流程设计,"债券型,遗漏,高影响"
CASE0030,PROD0034,股票型,成功案例,股票型产品错误问题,信息披露发布环节出现数据错误，需要重新处理,计算公式错误,加强培训,在股票型产品流程设计中，需要特别注意错误风险,建议：加强培训,"股票型,错误,低影响"
CASE0031,PROD0036,FOF,失败案例,FOF产品延迟问题,估值计算环节执行延迟，超出计划时间-47分钟,前置步骤延迟,升级系统性能,在FOF产品流程设计中，需要特别注意延迟风险,建议：升级系统性能,"FOF,延迟,高影响"
CASE0032,PROD0037,股票型,成功案例,股票型产品数据问题问题,交易指令接收环节数据问题,协作问题,修复系统,在股票型产品流程设计中，需要特别注意数据问题风险,建议：修复系统,"股票型,数据问题,低影响"
CASE0033,PROD0037,股票型,成功案例,股票型产品遗漏问题,估值数据准备环节遗漏关键步骤或数据,人员疏忽,加强培训,在股票型产品流程设计中，需要特别注意遗漏风险,建议：加强培训,"股票型,遗漏,低影响"
CASE0034,PROD0037,股票型,成功案例,股票型产品数据问题问题,信息披露审核环节数据问题,流程设计问题,加强培训,在股票型产品流程设计中，需要特别注意数据问题风险,建议：加强培训,"股票型,数据问题,中影响"
CASE0035,PROD0038,股票型,失败案例,股票型产品错误问题,托管行清算核对环节出现数据错误，需要重新处理,计算公式错误,修正数据源,在股票型产品流程设计中，需要特别注意错误风险,建议：修正数据源,"股票型,错误,高影响"
CASE0036,PROD0038,股票型,成功案例,股票型产品延迟问题,托管行估值核对环节执行延迟，超出计划时间-17分钟,数据准备不及时,升级系统性能,在股票型产品流程设计中，需要特别注意延迟风险,建议：升级系统性能,"股票型,延迟,中影响"
CASE0037,PROD0038,股票型,成功案例,股票型产品遗漏问题,托管行估值核对环节遗漏关键步骤或数据,人员疏忽,优化系统提示,在股票型产品流程设计中，需要特别注意遗漏风险,建议：优化系统提示,"股票型,遗漏,低影响"
CASE0038,PROD0039,债券型,成功案例,债券型产品系统问题问题,交易指令接收环节系统问题,人员问题,改进协作,在债券型产品流程设计中，需要特别注意系统问题风险,建议：改进协作,"债券型,系统问题,中影响"
CASE0039,PROD0039,债券型,成功案例,债券型产品错误问题,估值结果确认环节出现数据错误，需要重新处理,系统bug,修正计算逻辑,在债券型产品流程设计中，需要特别注意错误风险,建议：修正计算逻辑,"债券型,错误,中影响"
CASE0040,PROD0042,QDII,失败案例,QDII产品延迟问题,信息披露发布环节执行延迟，超出计划时间-20分钟,前置步骤延迟,调整时间安排,在QDII产品流程设计中，需要特别注意延迟风险,建议：调整时间安排,"QDII,延迟,高影响"
CASE0041,PROD0042,QDII,成功案例,QDII产品协作问题问题,交易确认环节协作问题,协作问题,加强培训,在QDII产品流程设计中，需要特别注意协作问题风险,建议：加强培训,"QDII,协作问题,中影响"
CASE0042,PROD0043,股票型,成功案例,股票型产品错误问题,交易指令接收环节出现数据错误，需要重新处理,数据源错误,修正数据源,在股票型产品流程设计中，需要特别注意错误风险,建议：修正数据源,"股票型,错误,低影响"
CASE0043,PROD0043,股票型,成功案例,股票型产品系统问题问题,交易执行环节系统问题,流程设计问题,修复系统,在股票型产品流程设计中，需要特别注意系统问题风险,建议：修复系统,"股票型,系统问题,中影响"
CASE0044,PROD0043,股票型,成功案例,股票型产品错误问题,清算处理环节出现数据错误，需要重新处理,系统bug,修正数据源,在股票型产品流程设计中，需要特别注意错误风险,建议：修正数据源,"股票型,错误,中影响"
CASE0045,PROD0043,股票型,失败案例,股票型产品遗漏问题,估值数据准备环节遗漏关键步骤或数据,人员疏忽,加强培训,在股票型产品流程设计中，需要特别注意遗漏风险,建议：加强培训,"股票型,遗漏,高影响"
CASE0046,PROD0043,股票型,失败案例,股票型产品协作问题问题,信息披露准备环节协作问题,协作问题,修复系统,在股票型产品流程设计中，需要特别注意协作问题风险,建议：修复系统,"股票型,协作问题,高影响"
CASE0047,PROD0044,FOF,成功案例,FOF产品系统问题问题,托管行估值核对环节系统问题,协作问题,加强培训,在FOF产品流程设计中，需要特别注意系统问题风险,建议：加强培训,"FOF,系统问题,低影响"
CASE0048,PROD0045,货币型,成功案例,货币型产品延迟问题,托管行核对环节执行延迟，超出计划时间-16分钟,系统响应慢,调整时间安排,在货币型产品流程设计中，需要特别注意延迟风险,建议：调整时间安排,"货币型,延迟,低影响"
CASE0049,PROD0046,债券型,成功案例,债券型产品延迟问题,清算数据接收环节执行延迟，超出计划时间-30分钟,数据准备不及时,加强协作机制,在债券型产品流程设计中，需要特别注意延迟风险,建议：加强协作机制,"债券型,延迟,低影响"
CASE0050,PROD0048,QDII,成功案例,QDII产品系统问题问题,交易指令接收环节系统问题,系统问题,修复系统,在QDII产品流程设计中，需要特别注意系统问题风险,建议：修复系统,"QDII,系统问题,低影响"
CASE0051,PROD0048,QDII,失败案例,QDII产品延迟问题,清算数据接收环节执行延迟，超出计划时间-52分钟,数据准备不及时,加强协作机制,在QDII产品流程设计中，需要特别注意延迟风险,建议：加强协作机制,"QDII,延迟,高影响"
CASE0052,PROD0049,债券型,失败案例,债券型产品延迟问题,交易指令接收环节执行延迟，超出计划时间-26分钟,人员协调问题,调整时间安排,在债券型产品流程设计中，需要特别注意延迟风险,建议：调整时间安排,"债券型,延迟,高影响"
CASE0053,PROD0049,债券型,失败案例,债券型产品数据问题问题,托管行估值核对环节数据问题,协作问题,优化流程,在债券型产品流程设计中，需要特别注意数据问题风险,建议：优化流程,"债券型,数据问题,高影响"
CASE0054,PROD0001,股票型,成功案例,股票型产品流程优化,初始流程设计中估值核对环节耗时过长,托管行核对流程不够自动化,与托管行协商建立自动化核对接口,提前与托管行沟通技术对接方案可以大幅提升效率,在产品设计阶段就与托管行确定技术对接方案,"股票型,流程优化,自动化"
CASE0055,PROD0002,债券型,成功案例,债券型产品清算流程简化,清算流程步骤过多，容易出错,流程设计过于复杂,合并部分可以并行的步骤，简化流程,流程设计应当追求简洁高效，避免不必要的复杂性,定期review流程，持续优化,"债券型,流程简化,效率提升"
