process_id,product_id,product_name,product_type,investment_scope,trading_market,custodian,setup_date,process_version,status
PROD0001_V1,PROD0001,易方达股票型基金1号,股票型,境内股票,沪深交易所,招商银行,2023-01-03,1,执行中
PROD0002_V1,PROD0002,易方达货币型基金2号,货币型,混合资产,多市场,中信银行,2023-04-19,1,执行中
PROD0003_V1,PROD0003,易方达股票型基金3号,股票型,境外股票,香港交易所,中信银行,2023-05-20,1,已完成
PROD0004_V1,PROD0004,易方达混合型基金4号,混合型,境外债券,美国市场,浦发银行,2023-02-01,1,已完成
PROD0004_V2,PROD0004,易方达混合型基金4号,混合型,境外债券,美国市场,浦发银行,2023-07-04,2,执行中
PROD0005_V1,PROD0005,易方达混合型基金5号,混合型,境外债券,沪深交易所,工商银行,2023-08-10,1,已完成
PROD0005_V2,PROD0005,易方达混合型基金5号,混合型,境外债券,沪深交易所,工商银行,2023-03-06,2,执行中
PROD0006_V1,PROD0006,易方达QDII基金6号,QDII,境外股票,多市场,浦发银行,2023-10-26,1,已完成
PROD0006_V2,PROD0006,易方达QDII基金6号,QDII,境外股票,多市场,浦发银行,2023-01-09,2,已完成
PROD0007_V1,PROD0007,易方达混合型基金7号,混合型,境外债券,银行间市场,中信银行,2023-04-04,1,已完成
PROD0007_V2,PROD0007,易方达混合型基金7号,混合型,境外债券,银行间市场,中信银行,2023-10-24,2,执行中
PROD0008_V1,PROD0008,易方达FOF基金8号,FOF,境外股票,多市场,工商银行,2023-01-14,1,已完成
PROD0008_V2,PROD0008,易方达FOF基金8号,FOF,境外股票,多市场,工商银行,2023-10-26,2,执行中
PROD0009_V1,PROD0009,易方达债券型基金9号,债券型,境外股票,沪深交易所,浦发银行,2023-04-23,1,已完成
PROD0009_V2,PROD0009,易方达债券型基金9号,债券型,境外股票,沪深交易所,浦发银行,2023-07-09,2,已完成
PROD0010_V1,PROD0010,易方达QDII基金10号,QDII,境内债券,多市场,浦发银行,2023-08-02,1,已完成
PROD0010_V2,PROD0010,易方达QDII基金10号,QDII,境内债券,多市场,浦发银行,2023-06-23,2,已完成
PROD0011_V1,PROD0011,易方达QDII基金11号,QDII,混合资产,多市场,建设银行,2023-09-22,1,已完成
PROD0011_V2,PROD0011,易方达QDII基金11号,QDII,混合资产,多市场,建设银行,2023-11-04,2,已完成
PROD0012_V1,PROD0012,易方达混合型基金12号,混合型,境内股票,多市场,建设银行,2023-12-05,1,执行中
PROD0013_V1,PROD0013,易方达QDII基金13号,QDII,境内股票,多市场,招商银行,2023-08-19,1,已完成
PROD0014_V1,PROD0014,易方达货币型基金14号,货币型,境内债券,香港交易所,浦发银行,2023-05-13,1,已完成
PROD0014_V2,PROD0014,易方达货币型基金14号,货币型,境内债券,香港交易所,浦发银行,2023-02-18,2,执行中
PROD0015_V1,PROD0015,易方达股票型基金15号,股票型,境外股票,银行间市场,工商银行,2023-08-25,1,执行中
PROD0016_V1,PROD0016,易方达QDII基金16号,QDII,混合资产,银行间市场,中信银行,2023-08-17,1,已完成
PROD0016_V2,PROD0016,易方达QDII基金16号,QDII,混合资产,银行间市场,中信银行,2023-09-09,2,已完成
PROD0017_V1,PROD0017,易方达债券型基金17号,债券型,境内债券,美国市场,建设银行,2023-06-04,1,已完成
PROD0017_V2,PROD0017,易方达债券型基金17号,债券型,境内债券,美国市场,建设银行,2023-12-25,2,已完成
PROD0018_V1,PROD0018,易方达FOF基金18号,FOF,境内股票,沪深交易所,招商银行,2023-09-26,1,已完成
PROD0019_V1,PROD0019,易方达QDII基金19号,QDII,境内债券,香港交易所,招商银行,2023-05-31,1,执行中
PROD0020_V1,PROD0020,易方达货币型基金20号,货币型,境外股票,沪深交易所,招商银行,2023-07-04,1,已完成
PROD0020_V2,PROD0020,易方达货币型基金20号,货币型,境外股票,沪深交易所,招商银行,2023-05-13,2,已完成
PROD0021_V1,PROD0021,易方达货币型基金21号,货币型,混合资产,沪深交易所,招商银行,2023-07-31,1,执行中
PROD0022_V1,PROD0022,易方达FOF基金22号,FOF,境内股票,香港交易所,中信银行,2023-08-03,1,执行中
PROD0023_V1,PROD0023,易方达债券型基金23号,债券型,混合资产,银行间市场,中信银行,2023-08-26,1,已完成
PROD0023_V2,PROD0023,易方达债券型基金23号,债券型,混合资产,银行间市场,中信银行,2023-06-12,2,执行中
PROD0024_V1,PROD0024,易方达FOF基金24号,FOF,境外股票,香港交易所,建设银行,2023-03-11,1,已完成
PROD0024_V2,PROD0024,易方达FOF基金24号,FOF,境外股票,香港交易所,建设银行,2023-11-11,2,执行中
PROD0025_V1,PROD0025,易方达货币型基金25号,货币型,混合资产,银行间市场,中信银行,2023-03-06,1,已完成
PROD0026_V1,PROD0026,易方达股票型基金26号,股票型,境外股票,美国市场,工商银行,2023-04-30,1,已完成
PROD0026_V2,PROD0026,易方达股票型基金26号,股票型,境外股票,美国市场,工商银行,2023-09-27,2,已完成
PROD0027_V1,PROD0027,易方达债券型基金27号,债券型,境外债券,多市场,浦发银行,2023-04-24,1,已完成
PROD0028_V1,PROD0028,易方达债券型基金28号,债券型,境外股票,银行间市场,浦发银行,2023-01-16,1,已完成
PROD0029_V1,PROD0029,易方达FOF基金29号,FOF,境外债券,沪深交易所,招商银行,2023-10-11,1,已完成
PROD0029_V2,PROD0029,易方达FOF基金29号,FOF,境外债券,沪深交易所,招商银行,2023-06-27,2,执行中
PROD0030_V1,PROD0030,易方达债券型基金30号,债券型,境内债券,多市场,招商银行,2023-11-17,1,执行中
PROD0031_V1,PROD0031,易方达货币型基金31号,货币型,境内股票,多市场,建设银行,2023-09-01,1,已完成
PROD0031_V2,PROD0031,易方达货币型基金31号,货币型,境内股票,多市场,建设银行,2023-01-12,2,执行中
PROD0032_V1,PROD0032,易方达FOF基金32号,FOF,混合资产,银行间市场,工商银行,2023-01-13,1,已完成
PROD0032_V2,PROD0032,易方达FOF基金32号,FOF,混合资产,银行间市场,工商银行,2023-01-23,2,执行中
PROD0033_V1,PROD0033,易方达债券型基金33号,债券型,境内债券,银行间市场,招商银行,2023-11-07,1,已完成
PROD0033_V2,PROD0033,易方达债券型基金33号,债券型,境内债券,银行间市场,招商银行,2023-06-16,2,已完成
PROD0034_V1,PROD0034,易方达股票型基金34号,股票型,境外债券,香港交易所,工商银行,2023-09-04,1,已完成
PROD0034_V2,PROD0034,易方达股票型基金34号,股票型,境外债券,香港交易所,工商银行,2023-04-14,2,执行中
PROD0035_V1,PROD0035,易方达混合型基金35号,混合型,境内股票,多市场,浦发银行,2023-04-13,1,已完成
PROD0036_V1,PROD0036,易方达FOF基金36号,FOF,境内债券,美国市场,建设银行,2023-08-17,1,已完成
PROD0036_V2,PROD0036,易方达FOF基金36号,FOF,境内债券,美国市场,建设银行,2023-09-09,2,已完成
PROD0037_V1,PROD0037,易方达股票型基金37号,股票型,境外债券,香港交易所,工商银行,2023-11-04,1,执行中
PROD0038_V1,PROD0038,易方达股票型基金38号,股票型,混合资产,银行间市场,招商银行,2023-10-04,1,已完成
PROD0038_V2,PROD0038,易方达股票型基金38号,股票型,混合资产,银行间市场,招商银行,2023-05-06,2,已完成
PROD0039_V1,PROD0039,易方达债券型基金39号,债券型,混合资产,多市场,建设银行,2023-06-13,1,已完成
PROD0039_V2,PROD0039,易方达债券型基金39号,债券型,混合资产,多市场,建设银行,2023-03-09,2,已完成
PROD0040_V1,PROD0040,易方达债券型基金40号,债券型,境内债券,沪深交易所,浦发银行,2023-08-16,1,执行中
PROD0041_V1,PROD0041,易方达货币型基金41号,货币型,混合资产,银行间市场,中信银行,2023-10-15,1,执行中
PROD0042_V1,PROD0042,易方达QDII基金42号,QDII,境内债券,多市场,招商银行,2023-07-04,1,已完成
PROD0042_V2,PROD0042,易方达QDII基金42号,QDII,境内债券,多市场,招商银行,2023-10-17,2,已完成
PROD0043_V1,PROD0043,易方达股票型基金43号,股票型,境外债券,多市场,建设银行,2023-11-24,1,已完成
PROD0044_V1,PROD0044,易方达FOF基金44号,FOF,境内债券,香港交易所,建设银行,2023-10-22,1,已完成
PROD0045_V1,PROD0045,易方达货币型基金45号,货币型,境外债券,香港交易所,招商银行,2023-11-18,1,已完成
PROD0046_V1,PROD0046,易方达债券型基金46号,债券型,境外债券,多市场,工商银行,2024-01-01,1,已完成
PROD0047_V1,PROD0047,易方达混合型基金47号,混合型,混合资产,美国市场,工商银行,2023-07-22,1,已完成
PROD0047_V2,PROD0047,易方达混合型基金47号,混合型,混合资产,美国市场,工商银行,2023-10-25,2,执行中
PROD0048_V1,PROD0048,易方达QDII基金48号,QDII,境内股票,沪深交易所,中信银行,2023-12-07,1,已完成
PROD0049_V1,PROD0049,易方达债券型基金49号,债券型,境内股票,美国市场,工商银行,2023-01-16,1,执行中
PROD0050_V1,PROD0050,易方达股票型基金50号,股票型,境内股票,香港交易所,招商银行,2023-11-16,1,已完成
PROD0050_V2,PROD0050,易方达股票型基金50号,股票型,境内股票,香港交易所,招商银行,2023-03-24,2,已完成
