step_id,process_id,product_id,step_name,step_type,responsible_dept,responsible_person,predecessor_steps,planned_duration,actual_duration,start_time,end_time,status
PROD0001_V1_STEP001,PROD0001_V1,PROD0001,交易指令接收,交易,交易部,交易部_5号员工,,1.0,0.48,2023-01-03 09:00:00,2023-01-03 09:28:53,已完成
PROD0001_V1_STEP002,PROD0001_V1,PROD0001,交易执行,交易,交易部,交易部_3号员工,STEP001,2.0,0.96,2023-01-03 09:28:53,2023-01-03 10:26:44,有问题
PROD0001_V1_STEP003,PROD0001_V1,PROD0001,交易确认,交易,交易部,交易部_4号员工,STEP002,1.0,0.73,2023-01-03 10:26:44,2023-01-03 11:10:47,已完成
PROD0001_V1_STEP004,PROD0001_V1,PROD0001,清算数据接收,清算,清算部,清算部_5号员工,STEP003,2.0,1.46,2023-01-03 11:10:47,2023-01-03 12:38:32,已完成
PROD0001_V1_STEP005,PROD0001_V1,PROD0001,清算处理,清算,清算部,清算部_5号员工,STEP004,3.0,1.8,2023-01-03 12:38:32,2023-01-03 14:26:40,已完成
PROD0001_V1_STEP006,PROD0001_V1,PROD0001,托管行清算核对,清算,清算部,清算部_4号员工,STEP005,2.0,1.47,2023-01-03 14:26:40,2023-01-03 15:55:04,已完成
PROD0001_V1_STEP007,PROD0001_V1,PROD0001,估值数据准备,估值,估值部,估值部_4号员工,STEP006,2.0,1.1,2023-01-03 15:55:04,2023-01-03 17:00:55,已完成
PROD0001_V1_STEP008,PROD0001_V1,PROD0001,估值计算,估值,估值部,估值部_5号员工,STEP007,3.0,1.79,2023-01-03 17:00:55,2023-01-03 18:48:25,已完成
PROD0001_V1_STEP009,PROD0001_V1,PROD0001,托管行估值核对,估值,估值部,估值部_1号员工,STEP008,2.0,1.54,2023-01-03 18:48:25,2023-01-03 20:20:44,已完成
PROD0001_V1_STEP010,PROD0001_V1,PROD0001,估值结果确认,估值,估值部,估值部_2号员工,STEP009,1.0,0.44,2023-01-03 20:20:44,2023-01-03 20:46:50,已完成
PROD0001_V1_STEP011,PROD0001_V1,PROD0001,信息披露准备,披露,披露部,披露部_3号员工,STEP010,2.0,1.21,2023-01-03 20:46:50,2023-01-03 21:59:15,已完成
PROD0001_V1_STEP012,PROD0001_V1,PROD0001,信息披露审核,披露,披露部,披露部_4号员工,STEP011,2.0,1.42,2023-01-03 21:59:15,2023-01-03 23:24:43,已完成
PROD0001_V1_STEP013,PROD0001_V1,PROD0001,信息披露发布,披露,披露部,披露部_1号员工,STEP012,1.0,0.48,2023-01-03 23:24:43,2023-01-03 23:53:32,已完成
PROD0002_V1_STEP001,PROD0002_V1,PROD0002,交易指令接收,交易,交易部,交易部_4号员工,,0.5,0.4,2023-04-19 09:00:00,2023-04-19 09:24:13,已完成
PROD0002_V1_STEP002,PROD0002_V1,PROD0002,交易执行,交易,交易部,交易部_2号员工,STEP001,1.0,0.55,2023-04-19 09:24:13,2023-04-19 09:57:23,有问题
PROD0002_V1_STEP003,PROD0002_V1,PROD0002,清算处理,清算,清算部,清算部_4号员工,STEP002,1.0,0.7,2023-04-19 09:57:23,2023-04-19 10:39:37,已完成
PROD0002_V1_STEP004,PROD0002_V1,PROD0002,估值计算,估值,估值部,估值部_5号员工,STEP003,1.0,0.45,2023-04-19 10:39:37,2023-04-19 11:06:52,已完成
PROD0002_V1_STEP005,PROD0002_V1,PROD0002,托管行核对,估值,估值部,估值部_1号员工,STEP004,1.0,0.46,2023-04-19 11:06:52,2023-04-19 11:34:24,已完成
PROD0002_V1_STEP006,PROD0002_V1,PROD0002,信息披露,披露,披露部,披露部_4号员工,STEP005,0.5,0.32,2023-04-19 11:34:24,2023-04-19 11:53:32,已完成
PROD0003_V1_STEP001,PROD0003_V1,PROD0003,交易指令接收,交易,交易部,交易部_3号员工,,1.0,0.4,2023-05-20 09:00:00,2023-05-20 09:24:14,已完成
PROD0003_V1_STEP002,PROD0003_V1,PROD0003,交易执行,交易,交易部,交易部_4号员工,STEP001,2.0,1.4,2023-05-20 09:24:14,2023-05-20 10:48:17,已完成
PROD0003_V1_STEP003,PROD0003_V1,PROD0003,交易确认,交易,交易部,交易部_1号员工,STEP002,1.0,0.45,2023-05-20 10:48:17,2023-05-20 11:15:02,有问题
PROD0003_V1_STEP004,PROD0003_V1,PROD0003,清算数据接收,清算,清算部,清算部_1号员工,STEP003,2.0,1.04,2023-05-20 11:15:02,2023-05-20 12:17:27,已完成
PROD0003_V1_STEP005,PROD0003_V1,PROD0003,清算处理,清算,清算部,清算部_5号员工,STEP004,3.0,2.95,2023-05-20 12:17:27,2023-05-20 15:14:21,已完成
PROD0003_V1_STEP006,PROD0003_V1,PROD0003,托管行清算核对,清算,清算部,清算部_4号员工,STEP005,2.0,1.34,2023-05-20 15:14:21,2023-05-20 16:34:31,有问题
PROD0003_V1_STEP007,PROD0003_V1,PROD0003,估值数据准备,估值,估值部,估值部_1号员工,STEP006,2.0,1.38,2023-05-20 16:34:31,2023-05-20 17:57:21,已完成
PROD0003_V1_STEP008,PROD0003_V1,PROD0003,估值计算,估值,估值部,估值部_5号员工,STEP007,3.0,2.18,2023-05-20 17:57:21,2023-05-20 20:07:58,已完成
PROD0003_V1_STEP009,PROD0003_V1,PROD0003,托管行估值核对,估值,估值部,估值部_5号员工,STEP008,2.0,2.06,2023-05-20 20:07:58,2023-05-20 22:11:19,有问题
PROD0003_V1_STEP010,PROD0003_V1,PROD0003,估值结果确认,估值,估值部,估值部_4号员工,STEP009,1.0,0.73,2023-05-20 22:11:19,2023-05-20 22:55:14,已完成
PROD0003_V1_STEP011,PROD0003_V1,PROD0003,信息披露准备,披露,披露部,披露部_2号员工,STEP010,2.0,1.42,2023-05-20 22:55:14,2023-05-21 00:20:30,已完成
PROD0003_V1_STEP012,PROD0003_V1,PROD0003,信息披露审核,披露,披露部,披露部_3号员工,STEP011,2.0,1.04,2023-05-21 00:20:30,2023-05-21 01:22:48,有问题
PROD0003_V1_STEP013,PROD0003_V1,PROD0003,信息披露发布,披露,披露部,披露部_3号员工,STEP012,1.0,0.5,2023-05-21 01:22:48,2023-05-21 01:52:52,有问题
PROD0004_V1_STEP001,PROD0004_V1,PROD0004,交易指令接收,交易,交易部,交易部_1号员工,,1.0,0.5,2023-02-01 09:00:00,2023-02-01 09:30:01,有问题
PROD0004_V1_STEP002,PROD0004_V1,PROD0004,交易执行,交易,交易部,交易部_2号员工,STEP001,2.0,1.07,2023-02-01 09:30:01,2023-02-01 10:34:07,已完成
PROD0004_V1_STEP003,PROD0004_V1,PROD0004,清算处理,清算,清算部,清算部_3号员工,STEP002,2.0,2.15,2023-02-01 10:34:07,2023-02-01 12:43:06,已完成
PROD0004_V1_STEP004,PROD0004_V1,PROD0004,托管行清算核对,清算,清算部,清算部_3号员工,STEP003,2.0,1.38,2023-02-01 12:43:06,2023-02-01 14:06:00,已完成
PROD0004_V1_STEP005,PROD0004_V1,PROD0004,估值计算,估值,估值部,估值部_5号员工,STEP004,2.0,2.19,2023-02-01 14:06:00,2023-02-01 16:17:35,已完成
PROD0004_V1_STEP006,PROD0004_V1,PROD0004,托管行估值核对,估值,估值部,估值部_4号员工,STEP005,2.0,0.8,2023-02-01 16:17:35,2023-02-01 17:05:48,已完成
PROD0004_V1_STEP007,PROD0004_V1,PROD0004,信息披露,披露,披露部,披露部_5号员工,STEP006,1.0,0.69,2023-02-01 17:05:48,2023-02-01 17:47:22,已完成
PROD0004_V2_STEP001,PROD0004_V2,PROD0004,交易指令接收,交易,交易部,交易部_1号员工,,1.0,0.5,2023-07-04 09:00:00,2023-07-04 09:29:45,已完成
PROD0004_V2_STEP002,PROD0004_V2,PROD0004,交易执行,交易,交易部,交易部_5号员工,STEP001,2.0,1.43,2023-07-04 09:29:45,2023-07-04 10:55:43,已完成
PROD0004_V2_STEP003,PROD0004_V2,PROD0004,清算处理,清算,清算部,清算部_4号员工,STEP002,2.0,1.51,2023-07-04 10:55:43,2023-07-04 12:26:17,已完成
PROD0004_V2_STEP004,PROD0004_V2,PROD0004,托管行清算核对,清算,清算部,清算部_4号员工,STEP003,2.0,1.41,2023-07-04 12:26:17,2023-07-04 13:51:04,已完成
PROD0004_V2_STEP005,PROD0004_V2,PROD0004,估值计算,估值,估值部,估值部_5号员工,STEP004,2.0,1.56,2023-07-04 13:51:04,2023-07-04 15:24:51,有问题
PROD0004_V2_STEP006,PROD0004_V2,PROD0004,托管行估值核对,估值,估值部,估值部_4号员工,STEP005,2.0,1.22,2023-07-04 15:24:51,2023-07-04 16:37:51,已完成
PROD0004_V2_STEP007,PROD0004_V2,PROD0004,信息披露,披露,披露部,披露部_1号员工,STEP006,1.0,0.44,2023-07-04 16:37:51,2023-07-04 17:04:04,有问题
PROD0005_V1_STEP001,PROD0005_V1,PROD0005,交易指令接收,交易,交易部,交易部_5号员工,,1.0,0.69,2023-08-10 09:00:00,2023-08-10 09:41:30,已完成
PROD0005_V1_STEP002,PROD0005_V1,PROD0005,交易执行,交易,交易部,交易部_4号员工,STEP001,2.0,1.07,2023-08-10 09:41:30,2023-08-10 10:45:29,已完成
PROD0005_V1_STEP003,PROD0005_V1,PROD0005,清算处理,清算,清算部,清算部_1号员工,STEP002,2.0,1.4,2023-08-10 10:45:29,2023-08-10 12:09:29,有问题
PROD0005_V1_STEP004,PROD0005_V1,PROD0005,托管行清算核对,清算,清算部,清算部_1号员工,STEP003,2.0,1.49,2023-08-10 12:09:29,2023-08-10 13:38:44,已完成
PROD0005_V1_STEP005,PROD0005_V1,PROD0005,估值计算,估值,估值部,估值部_3号员工,STEP004,2.0,1.22,2023-08-10 13:38:44,2023-08-10 14:52:04,已完成
PROD0005_V1_STEP006,PROD0005_V1,PROD0005,托管行估值核对,估值,估值部,估值部_5号员工,STEP005,2.0,0.92,2023-08-10 14:52:04,2023-08-10 15:47:31,有问题
PROD0005_V1_STEP007,PROD0005_V1,PROD0005,信息披露,披露,披露部,披露部_3号员工,STEP006,1.0,0.62,2023-08-10 15:47:31,2023-08-10 16:24:58,已完成
PROD0005_V2_STEP001,PROD0005_V2,PROD0005,交易指令接收,交易,交易部,交易部_3号员工,,1.0,0.59,2023-03-06 09:00:00,2023-03-06 09:35:13,已完成
PROD0005_V2_STEP002,PROD0005_V2,PROD0005,交易执行,交易,交易部,交易部_3号员工,STEP001,2.0,1.06,2023-03-06 09:35:13,2023-03-06 10:38:53,已完成
PROD0005_V2_STEP003,PROD0005_V2,PROD0005,清算处理,清算,清算部,清算部_1号员工,STEP002,2.0,1.2,2023-03-06 10:38:53,2023-03-06 11:51:00,已完成
PROD0005_V2_STEP004,PROD0005_V2,PROD0005,托管行清算核对,清算,清算部,清算部_2号员工,STEP003,2.0,1.01,2023-03-06 11:51:00,2023-03-06 12:51:49,已完成
PROD0005_V2_STEP005,PROD0005_V2,PROD0005,估值计算,估值,估值部,估值部_4号员工,STEP004,2.0,1.86,2023-03-06 12:51:49,2023-03-06 14:43:33,已完成
PROD0005_V2_STEP006,PROD0005_V2,PROD0005,托管行估值核对,估值,估值部,估值部_5号员工,STEP005,2.0,0.83,2023-03-06 14:43:33,2023-03-06 15:33:20,已完成
PROD0005_V2_STEP007,PROD0005_V2,PROD0005,信息披露,披露,披露部,披露部_4号员工,STEP006,1.0,0.45,2023-03-06 15:33:20,2023-03-06 16:00:07,有问题
PROD0006_V1_STEP001,PROD0006_V1,PROD0006,交易指令接收,交易,交易部,交易部_1号员工,,1.0,0.64,2023-10-26 09:00:00,2023-10-26 09:38:26,已完成
PROD0006_V1_STEP002,PROD0006_V1,PROD0006,交易执行,交易,交易部,交易部_3号员工,STEP001,2.0,0.89,2023-10-26 09:38:26,2023-10-26 10:31:34,已完成
PROD0006_V1_STEP003,PROD0006_V1,PROD0006,交易确认,交易,交易部,交易部_2号员工,STEP002,1.0,0.71,2023-10-26 10:31:34,2023-10-26 11:13:52,已完成
PROD0006_V1_STEP004,PROD0006_V1,PROD0006,清算数据接收,清算,清算部,清算部_4号员工,STEP003,2.0,0.85,2023-10-26 11:13:52,2023-10-26 12:04:53,有问题
PROD0006_V1_STEP005,PROD0006_V1,PROD0006,清算处理,清算,清算部,清算部_1号员工,STEP004,3.0,1.66,2023-10-26 12:04:53,2023-10-26 13:44:19,已完成
PROD0006_V1_STEP006,PROD0006_V1,PROD0006,托管行清算核对,清算,清算部,清算部_1号员工,STEP005,2.0,1.15,2023-10-26 13:44:19,2023-10-26 14:53:19,有问题
PROD0006_V1_STEP007,PROD0006_V1,PROD0006,估值数据准备,估值,估值部,估值部_4号员工,STEP006,2.0,1.25,2023-10-26 14:53:19,2023-10-26 16:08:34,已完成
PROD0006_V1_STEP008,PROD0006_V1,PROD0006,估值计算,估值,估值部,估值部_4号员工,STEP007,3.0,2.13,2023-10-26 16:08:34,2023-10-26 18:16:31,已完成
PROD0006_V1_STEP009,PROD0006_V1,PROD0006,托管行估值核对,估值,估值部,估值部_5号员工,STEP008,2.0,2.06,2023-10-26 18:16:31,2023-10-26 20:19:53,已完成
PROD0006_V1_STEP010,PROD0006_V1,PROD0006,估值结果确认,估值,估值部,估值部_5号员工,STEP009,1.0,0.56,2023-10-26 20:19:53,2023-10-26 20:53:14,已完成
PROD0006_V1_STEP011,PROD0006_V1,PROD0006,信息披露准备,披露,披露部,披露部_2号员工,STEP010,2.0,1.22,2023-10-26 20:53:14,2023-10-26 22:06:15,已完成
PROD0006_V1_STEP012,PROD0006_V1,PROD0006,信息披露审核,披露,披露部,披露部_4号员工,STEP011,2.0,1.47,2023-10-26 22:06:15,2023-10-26 23:34:31,已完成
PROD0006_V1_STEP013,PROD0006_V1,PROD0006,信息披露发布,披露,披露部,披露部_4号员工,STEP012,1.0,0.52,2023-10-26 23:34:31,2023-10-27 00:05:57,有问题
PROD0006_V2_STEP001,PROD0006_V2,PROD0006,交易指令接收,交易,交易部,交易部_5号员工,,1.0,0.4,2023-01-09 09:00:00,2023-01-09 09:24:17,已完成
PROD0006_V2_STEP002,PROD0006_V2,PROD0006,交易执行,交易,交易部,交易部_1号员工,STEP001,2.0,1.44,2023-01-09 09:24:17,2023-01-09 10:50:42,有问题
PROD0006_V2_STEP003,PROD0006_V2,PROD0006,交易确认,交易,交易部,交易部_4号员工,STEP002,1.0,0.46,2023-01-09 10:50:42,2023-01-09 11:18:28,已完成
PROD0006_V2_STEP004,PROD0006_V2,PROD0006,清算数据接收,清算,清算部,清算部_2号员工,STEP003,2.0,1.11,2023-01-09 11:18:28,2023-01-09 12:25:10,已完成
PROD0006_V2_STEP005,PROD0006_V2,PROD0006,清算处理,清算,清算部,清算部_5号员工,STEP004,3.0,2.23,2023-01-09 12:25:10,2023-01-09 14:38:48,已完成
PROD0006_V2_STEP006,PROD0006_V2,PROD0006,托管行清算核对,清算,清算部,清算部_5号员工,STEP005,2.0,1.1,2023-01-09 14:38:48,2023-01-09 15:44:48,已完成
PROD0006_V2_STEP007,PROD0006_V2,PROD0006,估值数据准备,估值,估值部,估值部_5号员工,STEP006,2.0,1.0,2023-01-09 15:44:48,2023-01-09 16:44:52,有问题
PROD0006_V2_STEP008,PROD0006_V2,PROD0006,估值计算,估值,估值部,估值部_4号员工,STEP007,3.0,2.68,2023-01-09 16:44:52,2023-01-09 19:25:34,已完成
PROD0006_V2_STEP009,PROD0006_V2,PROD0006,托管行估值核对,估值,估值部,估值部_2号员工,STEP008,2.0,2.16,2023-01-09 19:25:34,2023-01-09 21:35:21,有问题
PROD0006_V2_STEP010,PROD0006_V2,PROD0006,估值结果确认,估值,估值部,估值部_3号员工,STEP009,1.0,0.51,2023-01-09 21:35:21,2023-01-09 22:05:45,已完成
PROD0006_V2_STEP011,PROD0006_V2,PROD0006,信息披露准备,披露,披露部,披露部_4号员工,STEP010,2.0,1.32,2023-01-09 22:05:45,2023-01-09 23:25:13,已完成
PROD0006_V2_STEP012,PROD0006_V2,PROD0006,信息披露审核,披露,披露部,披露部_5号员工,STEP011,2.0,1.44,2023-01-09 23:25:13,2023-01-10 00:51:39,有问题
PROD0006_V2_STEP013,PROD0006_V2,PROD0006,信息披露发布,披露,披露部,披露部_3号员工,STEP012,1.0,0.74,2023-01-10 00:51:39,2023-01-10 01:36:11,已完成
PROD0007_V1_STEP001,PROD0007_V1,PROD0007,交易指令接收,交易,交易部,交易部_2号员工,,1.0,0.61,2023-04-04 09:00:00,2023-04-04 09:36:18,已完成
PROD0007_V1_STEP002,PROD0007_V1,PROD0007,交易执行,交易,交易部,交易部_1号员工,STEP001,2.0,0.97,2023-04-04 09:36:18,2023-04-04 10:34:19,已完成
PROD0007_V1_STEP003,PROD0007_V1,PROD0007,清算处理,清算,清算部,清算部_5号员工,STEP002,2.0,2.24,2023-04-04 10:34:19,2023-04-04 12:48:34,已完成
PROD0007_V1_STEP004,PROD0007_V1,PROD0007,托管行清算核对,清算,清算部,清算部_5号员工,STEP003,2.0,1.13,2023-04-04 12:48:34,2023-04-04 13:56:19,已完成
PROD0007_V1_STEP005,PROD0007_V1,PROD0007,估值计算,估值,估值部,估值部_2号员工,STEP004,2.0,1.64,2023-04-04 13:56:19,2023-04-04 15:34:59,已完成
PROD0007_V1_STEP006,PROD0007_V1,PROD0007,托管行估值核对,估值,估值部,估值部_1号员工,STEP005,2.0,1.4,2023-04-04 15:34:59,2023-04-04 16:58:47,已完成
PROD0007_V1_STEP007,PROD0007_V1,PROD0007,信息披露,披露,披露部,披露部_3号员工,STEP006,1.0,0.47,2023-04-04 16:58:47,2023-04-04 17:26:43,有问题
PROD0007_V2_STEP001,PROD0007_V2,PROD0007,交易指令接收,交易,交易部,交易部_5号员工,,1.0,0.49,2023-10-24 09:00:00,2023-10-24 09:29:36,已完成
PROD0007_V2_STEP002,PROD0007_V2,PROD0007,交易执行,交易,交易部,交易部_3号员工,STEP001,2.0,0.87,2023-10-24 09:29:36,2023-10-24 10:22:06,已完成
PROD0007_V2_STEP003,PROD0007_V2,PROD0007,清算处理,清算,清算部,清算部_2号员工,STEP002,2.0,2.11,2023-10-24 10:22:06,2023-10-24 12:28:44,有问题
PROD0007_V2_STEP004,PROD0007_V2,PROD0007,托管行清算核对,清算,清算部,清算部_2号员工,STEP003,2.0,1.38,2023-10-24 12:28:44,2023-10-24 13:51:28,有问题
PROD0007_V2_STEP005,PROD0007_V2,PROD0007,估值计算,估值,估值部,估值部_1号员工,STEP004,2.0,2.18,2023-10-24 13:51:28,2023-10-24 16:02:25,有问题
PROD0007_V2_STEP006,PROD0007_V2,PROD0007,托管行估值核对,估值,估值部,估值部_1号员工,STEP005,2.0,1.3,2023-10-24 16:02:25,2023-10-24 17:20:20,已完成
PROD0007_V2_STEP007,PROD0007_V2,PROD0007,信息披露,披露,披露部,披露部_1号员工,STEP006,1.0,0.5,2023-10-24 17:20:20,2023-10-24 17:50:24,有问题
PROD0008_V1_STEP001,PROD0008_V1,PROD0008,交易指令接收,交易,交易部,交易部_4号员工,,1.0,0.61,2023-01-14 09:00:00,2023-01-14 09:36:47,已完成
PROD0008_V1_STEP002,PROD0008_V1,PROD0008,交易执行,交易,交易部,交易部_1号员工,STEP001,2.0,1.32,2023-01-14 09:36:47,2023-01-14 10:56:09,已完成
PROD0008_V1_STEP003,PROD0008_V1,PROD0008,清算处理,清算,清算部,清算部_4号员工,STEP002,2.0,1.94,2023-01-14 10:56:09,2023-01-14 12:52:46,有问题
PROD0008_V1_STEP004,PROD0008_V1,PROD0008,托管行清算核对,清算,清算部,清算部_3号员工,STEP003,2.0,1.36,2023-01-14 12:52:46,2023-01-14 14:14:23,已完成
PROD0008_V1_STEP005,PROD0008_V1,PROD0008,估值计算,估值,估值部,估值部_3号员工,STEP004,2.0,1.56,2023-01-14 14:14:23,2023-01-14 15:48:13,已完成
PROD0008_V1_STEP006,PROD0008_V1,PROD0008,托管行估值核对,估值,估值部,估值部_2号员工,STEP005,2.0,0.84,2023-01-14 15:48:13,2023-01-14 16:38:47,已完成
PROD0008_V1_STEP007,PROD0008_V1,PROD0008,信息披露,披露,披露部,披露部_5号员工,STEP006,1.0,0.55,2023-01-14 16:38:47,2023-01-14 17:11:44,已完成
PROD0008_V2_STEP001,PROD0008_V2,PROD0008,交易指令接收,交易,交易部,交易部_2号员工,,1.0,0.6,2023-10-26 09:00:00,2023-10-26 09:36:15,已完成
PROD0008_V2_STEP002,PROD0008_V2,PROD0008,交易执行,交易,交易部,交易部_5号员工,STEP001,2.0,1.2,2023-10-26 09:36:15,2023-10-26 10:48:25,有问题
PROD0008_V2_STEP003,PROD0008_V2,PROD0008,清算处理,清算,清算部,清算部_2号员工,STEP002,2.0,1.32,2023-10-26 10:48:25,2023-10-26 12:07:53,已完成
PROD0008_V2_STEP004,PROD0008_V2,PROD0008,托管行清算核对,清算,清算部,清算部_1号员工,STEP003,2.0,1.18,2023-10-26 12:07:53,2023-10-26 13:18:28,有问题
PROD0008_V2_STEP005,PROD0008_V2,PROD0008,估值计算,估值,估值部,估值部_5号员工,STEP004,2.0,1.45,2023-10-26 13:18:28,2023-10-26 14:45:28,有问题
PROD0008_V2_STEP006,PROD0008_V2,PROD0008,托管行估值核对,估值,估值部,估值部_2号员工,STEP005,2.0,0.92,2023-10-26 14:45:28,2023-10-26 15:40:31,有问题
PROD0008_V2_STEP007,PROD0008_V2,PROD0008,信息披露,披露,披露部,披露部_4号员工,STEP006,1.0,0.69,2023-10-26 15:40:31,2023-10-26 16:22:04,已完成
PROD0009_V1_STEP001,PROD0009_V1,PROD0009,交易指令接收,交易,交易部,交易部_5号员工,,1.0,0.45,2023-04-23 09:00:00,2023-04-23 09:27:07,已完成
PROD0009_V1_STEP002,PROD0009_V1,PROD0009,交易执行,交易,交易部,交易部_3号员工,STEP001,2.0,0.85,2023-04-23 09:27:07,2023-04-23 10:17:50,已完成
PROD0009_V1_STEP003,PROD0009_V1,PROD0009,交易确认,交易,交易部,交易部_1号员工,STEP002,1.0,0.44,2023-04-23 10:17:50,2023-04-23 10:44:01,有问题
PROD0009_V1_STEP004,PROD0009_V1,PROD0009,清算数据接收,清算,清算部,清算部_3号员工,STEP003,2.0,0.99,2023-04-23 10:44:01,2023-04-23 11:43:28,有问题
PROD0009_V1_STEP005,PROD0009_V1,PROD0009,清算处理,清算,清算部,清算部_3号员工,STEP004,2.0,1.32,2023-04-23 11:43:28,2023-04-23 13:02:45,已完成
PROD0009_V1_STEP006,PROD0009_V1,PROD0009,托管行清算核对,清算,清算部,清算部_3号员工,STEP005,2.0,1.23,2023-04-23 13:02:45,2023-04-23 14:16:45,已完成
PROD0009_V1_STEP007,PROD0009_V1,PROD0009,估值数据准备,估值,估值部,估值部_2号员工,STEP006,1.0,0.52,2023-04-23 14:16:45,2023-04-23 14:47:53,有问题
PROD0009_V1_STEP008,PROD0009_V1,PROD0009,估值计算,估值,估值部,估值部_2号员工,STEP007,2.0,1.28,2023-04-23 14:47:53,2023-04-23 16:04:42,有问题
PROD0009_V1_STEP009,PROD0009_V1,PROD0009,托管行估值核对,估值,估值部,估值部_3号员工,STEP008,2.0,1.37,2023-04-23 16:04:42,2023-04-23 17:27:02,有问题
PROD0009_V1_STEP010,PROD0009_V1,PROD0009,估值结果确认,估值,估值部,估值部_4号员工,STEP009,1.0,0.41,2023-04-23 17:27:02,2023-04-23 17:51:25,已完成
PROD0009_V1_STEP011,PROD0009_V1,PROD0009,信息披露准备,披露,披露部,披露部_2号员工,STEP010,1.0,0.61,2023-04-23 17:51:25,2023-04-23 18:28:15,已完成
